veg_class,year,month,CR,EVI,MNDWI,NDRE,NDVI,NDWI,RVI,VH,VV,composite_productivity,sar_productivity,composite_productivity_norm,sar_productivity_norm,stage_ft,stage_count,precip_mm,tmax_c,soil_moisture_mm,pet_mm,pdsi,stage_missing,climate_missing
Spikerush,2023,12,-12.443446963236354,0.0686528134715725,-0.2543636193660489,0.1307086983938506,0.4302766355188368,-0.5066349390648406,0.3292984333779455,-24.52265632198964,-12.079209340784756,0.20987938246142,-12.1790035481582,0.2829016387148794,0.3754890957245311,15.893870967741934,31,111.34519819715705,25.379637120073955,109.91108286143528,80.7618976077661,5.553664624985551,False,False
Spikerush,2024,1,-14.174661957712145,0.0122406447800353,0.1123114148437197,-0.0307533437316768,0.1660044837278551,-0.1839933785104322,0.2056039768280414,-28.842545262551354,-14.667883289417386,0.0491639282587378,-14.369871633213211,0.0762888636673203,0.1568622324001773,16.130967741935486,31,69.3285565699757,24.821530105165834,102.72956200161786,75.44114180053161,5.8571697677106185,False,False
Spikerush,2024,2,-11.758435525348943,0.0479555392768804,-0.0997865977583845,0.0306940640876678,0.2208937979418382,-0.2926459364173559,0.3797611485405402,-24.87058302205737,-13.112147486934983,0.0998478004354621,-12.340351221450192,0.1414470995852076,0.3593882013086883,16.302758620689655,29,95.20547786894714,24.432994337224084,104.02871836357323,86.58950652952731,6.323879579336646,False,False
Spikerush,2024,3,-9.844608224049294,0.0807414265244138,-0.2617554604824926,0.0819835954864642,0.2669159110448927,-0.373454862033263,0.5232798511697072,-21.65340222434932,-11.808793995505752,0.1432136443519236,-10.695881148183666,0.1971974155601717,0.5234899728400415,15.720967741935485,31,146.1535883508609,28.838518432913425,116.20179128625904,114.70615971339416,7.28428290766208,False,False
Spikerush,2024,4,-8.433180053813187,0.1105983065226357,-0.3735951733286048,0.1231152504647124,0.3040708230370185,-0.4264201553581538,0.6361600847155425,-19.191002869427177,-10.757822815129682,0.1792614600081222,-9.436461413413626,0.2435398115922128,0.649167546994238,14.777999999999999,30,20.448514965907773,29.410273893447357,45.67791517392811,162.5548826996417,7.542050156015254,False,False
Spikerush,2024,5,-6.960211789973344,0.150458636675699,-0.4583131991324214,0.1698865829737614,0.3424207735716471,-0.4607666856696796,0.780441353263281,-16.347658276758175,-9.387446489989768,0.2209219977403692,-7.978718800864501,0.2970978179055188,0.7946357735341585,13.608064516129033,31,54.31595978273431,33.871778573905,31.7291459609384,177.0796255633884,5.9464151161446885,False,False
Spikerush,2024,6,-6.746243218574596,0.1843731004273239,-0.4490913669825083,0.2001302969562833,0.3689644566193682,-0.4550590324812579,0.8079037754057914,-15.5155451827839,-8.769301972672302,0.2511559513343251,-7.555796649656251,0.3359660218607431,0.8368392014720509,13.127333333333333,30,342.5661620247312,33.37382410724603,125.41852536692473,151.43195423552518,6.659791979660234,False,False
Spikerush,2024,7,,0.1863772837276007,-0.407480276751465,0.2122116239629251,0.3906003133667878,-0.4420131033972487,,,,0.2630630736857712,,0.3512735951371782,,13.528387096774193,31,217.24927770715357,34.521795908933306,125.41852536692473,156.47926730613656,6.790134057552292,False,False
Spikerush,2024,8,-8.651368141855182,0.1472340863108668,-0.3422444056328161,0.1167368419392745,0.3332776622021786,-0.3878797575047802,0.6619710602105846,-18.66166022526536,-10.010292087604231,0.1990828634841066,-9.165337348628547,0.2690218363161433,0.6762230343875935,13.985806451612904,31,251.05396972148375,34.30658731075927,125.41852536692473,149.59214145383098,7.2014422743557125,False,False
Spikerush,2024,9,-11.434336616604426,0.0950770865668441,-0.2700151309648003,0.0484018502675018,0.3012303243756642,-0.3294135976876423,0.4391905456544626,-23.131038296913434,-11.696701682836409,0.1482364204033367,-11.455721512674952,0.2036546022916738,0.4476654553124186,14.858,30,206.72009707615848,33.737351207673626,125.41852536692473,128.42005084941638,7.235292961978502,False,False
Spikerush,2024,10,-12.022098240759668,0.0685734135379361,-0.2946902028003911,0.0460932775649869,0.3261180966227663,-0.3647243192825825,0.3830512857892352,-24.70076043812614,-12.678662200709963,0.1469282625752298,-12.254617398451634,0.2019728591114287,0.367943584871414,15.86516129032258,31,148.93713163064828,30.84186987172078,125.41852536692473,119.5408297700219,7.416782618744942,False,False
Spikerush,2024,11,-11.809703709795771,0.0473684312471574,-0.3705245058900149,0.0754587978779242,0.3799716374408896,-0.4456818288708847,0.3870902895059095,-25.43162811211018,-13.621924408054609,0.1675996221886571,-12.619041485113662,0.2285475715118307,0.3315776824557233,16.026,30,17.326360799722643,28.480735005200497,75.10265803767479,96.0326823067144,6.580871374089909,False,False
Spikerush,2024,12,-10.797153023712726,0.0314621396945081,-0.4975180402336723,0.1364984112063139,0.4627909468300341,-0.5722861264525495,0.451307556804486,-25.32364131886555,-14.526488304870329,0.2102504992436187,-12.54899377266103,0.2833787394928799,0.3385677480653471,15.398387096774194,31,36.89968796949035,25.03215069917947,53.69633653068298,82.65476713278628,6.103562926152778,False,False
Spikerush,2025,1,-5.930229305264066,0.0964743175706905,-0.4112592794935321,0.1974680981813241,0.4173312031104076,-0.5487092082934052,0.8966286277881169,-15.84583497507031,-9.915605673868562,0.237091206287474,-7.698760331603705,0.31788464929528,0.822572846703052,14.705483870967742,31,,,,,,False,True
